,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
0,남산애지앙,51㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,51.43,44.88,87,3,1,3,계단식,105450,316170,21090,189630,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,남산애지앙,71㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,71.85,62.7,87,3,2,1,계단식,179100,466290,35820,251370,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,남산애지앙,77㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,77.26,67.42,87,3,2,1,계단식,211500,527850,42300,274050,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,남산애지앙,88㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,88.98,77.65,87,3,2,3,계단식,232200,567180,46440,288540,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,남산애지앙,98㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,98.45,85.92,87,3,2,1,계단식,269100,637290,53820,314370,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,남산애지앙,101A㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,101.93,88.95,87,4,2,1,계단식,295200,686880,59040,332640,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,남산애지앙,103B㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,103.73,90.52,87,4,2,1,계단식,310500,715950,62100,343350,0,0,0,,,,,"8억 5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,남산애지앙,125A㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,125.05,109.12,87,5,3,1,계단식,328500,750150,65700,355950,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,남산애지앙,126B㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,126.55,110.43,87,5,3,3,계단식,318600,731340,63720,349020,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,남산애지앙,144㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,144.01,125.67,87,5,3,1,계단식,347400,786060,69480,369180,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,남산애지앙,149,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,149.18,130.18,87,5,3,2,계단식,337500,767250,67500,362250,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,뉴후암,34㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,34.74,34.74,100,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
1,뉴후암,34㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,34.38,34.38,100,2,1,1,복도식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
2,뉴후암,39A㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,39.67,39.67,100,1,1,2,계단식,,,,,,,,,,,,"4억 2,000",,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
3,뉴후암,40B㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,40.03,40.03,100,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
4,뉴후암,40C㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,40.99,40.99,100,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
5,뉴후암,42A㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,42.98,42.98,100,2,1,2,복도식,,,,,,,,,,,,"5억 8,000",,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
6,뉴후암,44B㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,44.3,44.3,100,1,1,5,계단식,,,,,,,,,,,,6억,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
7,뉴후암,45㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,45.59,45.59,100,2,1,1,복도식,,,,,,,,,,,,4억,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
8,뉴후암,52㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,52.89,52.89,100,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
9,뉴후암,56㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,56.2,56.2,100,2,1,1,복도식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
10,뉴후암,61㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,61.16,61.16,100,2,1,2,복도식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
11,뉴후암,67㎡,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,67.11,67.11,100,3,1,4,복도식,,,,,,,,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
12,뉴후암,69,서울시 용산구 후암동,1117010100,426,서울시 용산구 후암로 71,37.551299,126.975184,29,0,5,5,0,0,0,,HT001,69.42,69.42,100,2,1,4,계단식,,,,,,,,,,,,7억,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,11,,67.0,147.0
0,몬테피오레,96㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,96.16,75.14,78,3,2,1,계단식,211500,527850,42300,274050,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
1,몬테피오레,100A㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,100.37,79.86,80,3,2,1,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
2,몬테피오레,100B㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,100.07,80.24,80,3,2,1,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
3,몬테피오레,101A㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,101.48,80.12,79,3,2,3,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
4,몬테피오레,101B㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,101.51,80.26,79,3,2,1,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
5,몬테피오레,102D㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,102.06,81.28,80,3,2,3,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
6,몬테피오레,102C㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,102.79,80.72,79,3,2,1,계단식,245700,592830,49140,297990,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
7,몬테피오레,102E㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,102.33,82.06,80,3,2,1,계단식,237600,577440,47520,292320,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
8,몬테피오레,102F㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,102.58,82.1,80,3,2,1,계단식,245700,592830,49140,297990,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
9,몬테피오레,103G㎡,서울시 용산구 후암동,1117010100,41-1,서울시 용산구 두텁바위로69길 29,37.550976,126.979489,19,0,5,4,189,56,19,건원종합개발(주),HT001,103.04,83.04,81,3,2,4,계단식,245700,592830,49140,297990,0,0,0,,,,,,,,,,,,서울후암초등학교,B100002401,서울특별시 용산구 후암동 339번지,공립,단설,19670301,서울특별시교육청,http://huam.sen.es.kr,20230531,13.4,14.2,154,116,20230531,5,30,3,3,2,3,3,3,42,43,34,45,58,,2,9,17,270,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3479,480,474987000,37.55104472,126.98214682,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,4,,39.0,56.0
